park_code,price_type,cost,fee_type,pass_category,description,id 
crmo,fee,100.00,Commercial Entrance - Motor Coach,,This per-vehicle fee applies to commercial vehicles and provides entrance into the park for seven consecutive days.,10FFD729-F8A0-4B1E-94F4-3E6F2DE53EA2
crmo,fee,40.00,Commercial Entrance - Van,,This per-vehicle fee applies to commercial vehicles and provides entrance into the park for seven consecutive days.,EE81707E-FEF3-4C42-8CC1-60A99A453464
crmo,pass,35.00,,Annual Entrance - Park,Annual entrance pass for Craters of the Moon National Monument and Preserve only. Valid for one year through the month of purchase. This pass can be purchased at the park entrance station.,14BAC465-2CD6-4810-9404-559BD4938622
cuis,fee,15.00,Entrance - Per Person,,Cumberland Island National Seashore has a per-person entrance fee. This fee is waived for America the Beautiful pass holder plus three adults. Must present pass at time of check-in.,0A154461-6BA7-4E91-8EEB-B0BC3DE2BD81
dena,fee,15.00,Entrance - Per Person,,"Denali charges an entrance fee year-round. Youth age 15 or younger are free. For people age 16 or older, the $15 entrance fee provides a 7-day entrance permit. Be prepared to show your receipt or pass (digital or physical) if requested by park staff.",5D7F9F05-641F-4FBE-83F7-73B69F9322C3
dena,pass,45.00,,Annual Entrance - Park,The Denali Annual Pass covers up to four adults. You may purchase it online or in person at the park.,A7322FF2-0560-42B5-8406-AC347DAE8FA5
deto,fee,25.00,Entrance - Private Vehicle,,"Fee for a single, private, non-commercial vehicle and all its passengers.  Note: In summer it's a good idea to arrive at the entrance station before 10 am or after 4 pm to avoid congestion and find better parking options.",1C0A6D60-C6F2-4BBD-B93D-75B01D0A715E
deto,fee,20.00,Entrance - Motorcycle,,Fee for a single motorcycle and operator/passenger.Note: In summer it's a good idea to arrive at the entrance station before 10 am or after 4 pm to avoid congestion and find better parking options.,30B31A21-C951-4C75-8896-6348761D6D90
deto,fee,15.00,Entrance - Per Person,,"Admits one individual when entering on foot or bicycle. Individuals 15 years of age or younger are admitted free. This may also be used to calculate cost for organized non-profit groups (service organizations, scout groups, religious groups, etc.)",10B324B9-EF1A-4373-91B3-26177EF7F219
deto,fee,25.00,Commercial Entrance - Sedan,,"These entrance fees are based upon the seating capacity of the commercial tour vehicle - not the actual number of passengers. The fee is $25 plus $15/person, not to exceed $40.",5783F569-25F8-4F20-89D4-84B2A307078D
deto,fee,40.00,Commercial Entrance - Van,,These entrance fees are based upon the seating capacity of the commercial tour vehicle - not the actual number of passengers.,485FF879-A7E0-4671-A8DC-3D20F40AEFC3
deto,fee,40.00,Commercial Entrance - Mini-bus,,These entrance fees are based upon the seating capacity of the commercial tour vehicle - not the actual number of passengers.,C97202CA-3650-4B6E-87DB-773AC6D3E9CD
deto,fee,100.00,Commercial Entrance - Motor Coach,,These entrance fees are based upon the seating capacity of the commercial tour vehicle - not the actual number of passengers.,36BC1C35-9653-49C1-A3CD-DAEA2392B8A1
deto,pass,45.00,,Annual Entrance - Park,A great option if you visit more than twice a year.,594B8600-597A-405C-B7B1-A85BC9DD72B0
deva,fee,30.00,Entrance - Private Vehicle,,"This permit allows all persons traveling with the permit holder in one single private, non-commercial vehicle (car/truck/van/RV/aircraft) to leave and re-enter the park as many times as they wish during the 7-day period from the date of purchase.",6200B376-0CB5-42D2-AA3B-4E4A2FC70B6A
deva,fee,25.00,Entrance - Motorcycle,,This permit allows persons traveling on one motorcycle to leave and re-enter the park as many times as they wish during the 7-day period from the date of purchase.,14CD9607-BE66-4A29-A13E-F7E70E30FF87
deva,fee,15.00,Entrance - Per Person,,This permit allows a single individual traveling on foot or individuals traveling on one bicycle to leave and re-enter the park as many times as they wish during the 7-day period from the date of purchase.,9F4E3DA4-245E-4CF5-9755-8BEACAC7A687
deva,fee,10.00,Commercial Entrance - Per Person,,"1 - 6 Passenger Vehicle: $25 + $10 per person.

In addition to the entrance fees listed below, additional permits are required for commercial groups, special park uses (weddings, memorialization, group events, etc.), commercial film and photography, research, and more.",C33A172D-54F3-4AE7-8AD7-850F66714B03
deva,fee,25.00,Commercial Entrance - Sedan,,"1 - 6 Passenger Vehicle: $25 + $10 per person

In addition to the entrance fees listed below, additional permits are required for commercial groups, special park uses (weddings, memorialization, group events, etc.), commercial film and photography, research, and more.",742DE908-CB0E-4E52-B9A5-962CE2B412B4
deva,fee,75.00,Commercial Entrance - Van,,"7 - 15 Passenger Vehicle: $75

In addition to the entrance fees listed below, additional permits are required for commercial groups, special park uses (weddings, memorialization, group events, etc.), commercial film and photography, research, and more.",056F82DB-F336-4EBD-A02F-59B2E7648229
deva,fee,100.00,Commercial Entrance - Mini-bus,,"16 - 25 Passenger Vehicle: $100

In addition to the entrance fees listed below, additional permits are required for commercial groups, special park uses (weddings, memorialization, group events, etc.), commercial film and photography, research, and more.",37B95F9A-8F64-43C1-A4DE-76B70B2B1645
deva,fee,200.00,Commercial Entrance - Motor Coach,,"26 + Passenger Vehicle: $200

In addition to the entrance fees listed below, additional permits are required for commercial groups, special park uses (weddings, memorialization, group events, etc.), commercial film and photography, research, and more.",88B15183-C8B5-4D9E-AED4-484BC37E2F0C
deva,fee,15.00,Entrance - Non-commercial Groups,,"Non-commercial Groups (e.g., Scout groups, church groups, etc.) entering in a vehicle with a capacity of 16 persons or more are charged per-person for each person on board, not to exceed $200.",2DF10B33-328E-42A0-9A56-31416163194D
deva,fee,0.00,Entrance - Education/Academic Groups,,"National Park Service regulations allow school groups and other approved national and international academic institutions to obtain a waiver of Park entrance fees, provided that visit is for educational or scientific purposes, and the resources or facilities that the group intends to use, support those purposes. Submit your waiver through the link below at least one month prior to your visit.",67237359-8198-427B-B4E3-F73CF494C3DB
deva,pass,55.00,,Annual Entrance - Park,"This pass allows all persons traveling with the pass holder in one single private, non-commercial vehicle (car/truck/van) or those on a motorcycle to leave and re-enter the park as many times as they wish for 12 months from the month of purchase.",0D820E5D-FA35-43F1-88FF-9E164604923D
dewa,fee,10.00,Entrance - Private Vehicle,,Entrance fee for beaches and boat launches. Fee is good for one vehicle and it's passengers (up to 7 people).,0B8CCA68-C7A5-4F4E-B849-7383D3E08762
dewa,pass,45.00,,Annual Entrance - Park,"Annual seasonal pass for expanded amenity fee areas.

Passes can be purchased from park visitor centers or staffed fee booths located at Milford Beach, Smithfield Beach, and Turtle Beach.",16AF2518-10C3-4007-A9AC-9EC1688BB410
dino,fee,25.00,Entrance - Private Vehicle,,"Admits one private, non-commercial vehicle (15 passenger capacity or less) and all its occupants. Admission is good for seven consecutive days. You can come and go any time with your seven-day pass.",EE405376-D490-4A30-8F1E-FF16BA0FF09E
dino,fee,20.00,Entrance - Motorcycle,,"Admits all riders on a private, non-commercial motorcycle. Admission is good for seven consecutive days. You can come and go any time with your seven-day pass.",2E3820A7-3311-4169-8FB1-6CBD6F702945
dino,fee,15.00,Entrance - Per Person,,"Admits one individual with no car. Typically used for bicyclists, hikers, and pedestrians. Youth 15 and under are admitted free. Admission is good for seven consecutive days. You can come and go any time with your seven-day pass.",3E772A31-69F9-4EF2-A078-3C791D60CCC9
dino,fee,50.00,Commercial Entrance - Van,,"Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. Fees for commercial tours are based upon the total capacity of vehicle regardless of actual number of passengers.",0E25F57D-8506-4932-92C0-FC699974F9D4
dino,fee,60.00,Commercial Entrance - Mini-bus,,"Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. Fees for commercial tours are based upon the total capacity of vehicle regardless of actual number of passengers.",C8F4D777-4AEC-4DAA-93C9-D1D9FEA4989C
dino,fee,150.00,Commercial Entrance - Motor Coach,,"Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. Fees for commercial tours are based upon the total capacity of vehicle regardless of actual number of passengers.",6A1663F9-1F78-4760-B2E2-3ED15D38ED9B
dino,fee,25.00,Entrance - Non-commercial Groups,,"Non-commercial group fees (per vehicle): 
Vehicle capacity of 15 or less: $25 
Vehicle capacity of 16-25: $15 per person age 16 and older, not to exceed $60. 
Vehicle capacity of 26+: $15 per person age 16 and older, not to exceed $150. 
You may use Annual and Lifetime passes. A pass will cover the pass holder and up to three people traveling with the group.
Pass is valid for reentry for 7 days.",B54F56AA-E4AA-46AE-9EA1-E89AD66DFE12
dino,fee,0.00,Entrance - Education/Academic Groups,,"National Park Service regulations allow school groups and other bona fide national and international academic institutions to obtain a waiver for park entrance fees, provided that the visit is for educational or scientific purposes, and the resources or facilities the group proposes to use support those purposes.

Fee waivers must be obtained in advance and cannot be issued at the entrance station or visitor center.",A98318F0-CA6C-445B-AB73-E0C463FD6E0C
dino,fee,25.00,Commercial Entrance - Sedan,,"Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. Fees for commercial tours are based upon the total capacity of vehicle regardless of actual number of passengers.",1CE4C7A5-53BA-4234-B1B0-F10C14EE8A87
dino,fee,15.00,Commercial Entrance - Per Person,,"Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. (minimum required fee is $25 commercial fee plus the per-person entrance fee for each passenger not to exceed $50.00)",7B05D536-E4D3-4573-A68C-73ED6759C3DA
dino,pass,45.00,,Annual Entrance - Park,"Valid for one year through the month of purchase. Admits one (1) private, non-commercial vehicle or its pass holder to Dinosaur National Monument.",8E5FD329-128A-4D4A-9BBC-D478F0ABA7C3
drto,fee,15.00,Entrance - Per Person,,"The entrance fee for Dry Tortugas National Park is $15.00 per person and is good for 7 consecutive days. Any person 15 years old and under is exempt from paying an entrance fees (including international visitors).

Ferry tickets include the cost of entrance to the park, but NOT camping fees.

Seaplane will charge the entrance fee upon arrival. Plan to bring cash for each person aged 16-years of age and older.

Private boaters may purchase a digital pass in advance or pay cash/check at Garden Key main dock.",850524D7-6D22-47C7-83CA-D884AE0C641C
edis,fee,1.00,Timed Entry Reservation - Location,,"Tickets for the Glenmont Estate tour can be purchased only on the Recreation.gov website.  When booking your reservation, please remember all adults AND children must have a tour ticket.  There is a $ 1.00 per ticket nonrefundable reservation fee.",0CA74EB3-0BC3-4EBA-BE6E-641B945FFC5B
edis,fee,10.00,Entrance - Education/Academic Groups,,"THIS GUIDED WALKING TOUR IS FOR Elementary, Middle, and College Groups to learn about Thomas Edison’s West Orange Laboratory as a working invention factory where ideas became products, and those products became industries we all enjoy today.",39703186-8F15-4875-89FE-C852B2CA7AD2
edis,fee,15.00,Entrance - Per Person,,"Children 15 and under free of charge. Visitors may pay the fee on the day of their visit at the visitor center, or may choose to pay it online via Recreation.gov. Visitors to Glenmont and the Edison home must also pay this entrance fee. Credit or debt card payments only.",40F3AC6F-B99D-4918-9096-B861E104ADF8
edis,pass,45.00,,Annual Entrance - Park,"Valid ONLY at Thomas Edison National Historical Park for 12 months from the date of purchase. Permits the cardholder and 3 adult guests' entrance (16 years and older, children 15 and younger are free).  Includes Laboratory Complex and Glenmont Estate. All visitors must begin their visit at the Laboratory Complex. Please note: this does not guarantee entry into the mansion at Glenmont. Those tour tickets are separate, limited, and available only on Recreation.gov.",FFF0AA30-BAEE-436F-A545-44CB5018B504
elis,fee,0.00,Timed Entry Reservation - Location,,"General Admission tickets are our most widely available ticket. Visitors will have access to both islands, including entry to both the Statue of Liberty Museum and the Ellis Island National Museum of Immigration. This is the only ticket available when crown and pedestal reservations are full. General Admission tickets do not get you access inside the statue or pedestal.",DB918E57-730A-4827-BCA3-EB934736CA8B
elis,fee,0.00,Timed Entry Reservation - Location,,"Pedestal tickets are limited, and reservations are required. Pedestal tickets allow visitors to access up to the top of the pedestal, which includes lower pedestal levels. These are purchased online only through Statue City Cruises.",06366BC2-E43D-4FD8-BE43-165AAF1660BF
elis,fee,0.00,Timed Entry Reservation - Location,,"Crown tickets are limited, and reservations are required. Crown tickets allow visitors to access the crown of the statue, which includes a walk up 162 steps from the feet of the statue to the crown. There is no elevator access to the crown. These are purchased online only through Statue City Cruises.",596F0A17-D33E-43DC-96A9-1F17886FADEA
ever,fee,35.00,Entrance - Private Vehicle,,Admits the passholder and passengers of a single vehicle or vessel. Good for 7 consecutive days at all park entrances.,EC04AFD9-8C27-4EF3-88CA-6036C5A10786
ever,fee,30.00,Entrance - Motorcycle,,Good for 7 consecutive days at all park entrances.,61783B9C-C9FD-42AF-A067-BE6DCC33E8CC
ever,fee,20.00,Entrance - Per Person,,"Good for 7 consecutive days at all park entrances. Admits one individual hiker, bicyclist, pedestrian, or human-powered paddlecraft, when not arriving in a vehicle or vessel. Individuals 15 years old and younger, are admitted free of charge.",064C9D8C-CDA3-472C-B89F-27C880A897C1
ever,fee,0.00,Entrance - Education/Academic Groups,,"All accredited educational and scientific institutions are eligible to receive free entrance to the park. Bringing your classroom to the park can present many unique learning opportunities and novel ways for your students to advance their studies. The Federal Lands Recreation Enhancement Act (FLREA), Public Law 108-447, provides the National Park Service statutory authority to allow “outings conducted for non-commercial educational purposes by schools or bona fide academic institutions.”",89568D30-EEDA-4BAB-9D17-3A5F29BAA19C
ever,fee,300.00,Commercial Entrance - Motor Coach,,"A commercial tour is defined as persons traveling on an itinerary that has been packaged, priced or sold for leisure recreational purposes by an organization that realizes financial gain through the provisions of the service. Entrance fees are charges based on the seating capacity of the vehicle. Commercial entry good for 7 days as long as its the same passenger group.",A62CB280-32C6-4C86-991D-0D9C86C53E38
ever,fee,200.00,Commercial Entrance - Mini-bus,,"A commercial tour is defined as persons traveling on an itinerary that has been packaged, priced or sold for leisure recreational purposes by an organization that realizes financial gain through the provisions of the service. Entrance fees are charges based on the seating capacity of the vehicle. Commercial entry good for 7 days as long as its the same passenger group.",92ED064A-B841-49AF-8C8F-415918439EC2
ever,fee,125.00,Commercial Entrance - Van,,"A commercial tour is defined as persons traveling on an itinerary that has been packaged, priced or sold for leisure recreational purposes by an organization that realizes financial gain through the provisions of the service. Entrance fees are charges based on the seating capacity of the vehicle. Commercial entry good for 7 days as long as its the same passenger group.",4C9E26F3-D482-4081-ABE8-31D35FA83CA2
ever,pass,70.00,,Annual Entrance - Park,"The Everglades Annual Pass admits the pass holder, passenger on one motorcycle, or passengers of a single vehicle or vessel to Everglades National Park.",131F1560-30EB-47CE-9CBA-0B8BA3EFA116
flfo,fee,10.00,Entrance - Per Person,,"$10 per adult (age 16 or older). Admission is good for 7 days. Children ages 15 or under are admitted free. Fee covers entrance to all areas of the park including visitor center exhibits, film, outdoor exhibit area, hiking trails, picnic areas, Hornbek Homestead, self-guided tours, and ranger programs.",725990EA-F012-4A3C-8767-73539C364F65
flfo,pass,35.00,,Annual Entrance - Park,Valid for one year. Covers entrance fees for card-holder and up to 3 other adults in your party. Children ages 15 or under are admitted free. Accepted only at Florissant Fossil Beds National Monument.,D68D3E67-8FE6-4C51-BC9A-B869BC5FB596
foda,fee,10.00,Entrance - Per Person,,Per Person entry.,C8385893-D266-481B-9281-CEEB6B328693
foda,fee,15.00,Entrance - Motorcycle,,Fee per motorcycle.,757F9612-379C-4D5D-B066-6F3A0CE4852E
foda,fee,20.00,Entrance - Private Vehicle,,Entrance - Private Vehicle (includes driver and passengers),AC86F5A7-4C73-421E-82C1-DE3E512B7585
foda,fee,20.00,Commercial Entrance - Sedan,,Commercial Entrance - Sedan (1-6 persons vehicle capacity),5F2990E0-A4D4-4ECA-8CF2-1C42341DB07C
foda,fee,40.00,Commercial Entrance - Van,,Commercial Entrance - Van (7-15 persons vehicle capacity),E742FD28-D589-4333-BAED-2148E11AB233
foda,fee,40.00,Commercial Entrance - Mini-bus,,Commercial Entrance - Mini-bus (16-25 persons vehicle capacity),096ECF83-C120-472F-A5B7-0397EAE2C875
foda,fee,100.00,Commercial Entrance - Motor Coach,,Commercial Entrance - Motor Coach (26+ person vehicle capacity),2AFD3B81-D81B-4827-8285-90EF300164CF
foda,pass,35.00,,Annual Entrance - Park,This pass will admit the pass owners and three other adults to the Fort for 12 months from the month of purchase.,2B704EA6-70E9-4B9D-A93F-A35BC6E0A991
foma,fee,0.00,Timed Entry Reservation - Location,,"All areas of the park are free of charge including the ferry to the fort. However, you must stop in the Fort Matanzas Visitor Center (NOT the St. Augustine city Visitor Center) to get your free boarding pass for the ferry. Family members of all ages must have a pass to board the ferry. Passes are Free",6B193127-9E1A-4A27-965B-F8844D102A1F
fomc,fee,15.00,Entrance - Per Person,,Access to the historic zone (where the star fort is located) requires an entrance fee.,9D7EE01E-D8E3-432F-A03A-B2BEE5ABD2EF
fomc,fee,15.00,Entrance - Non-commercial Groups,,"There is no group rate for the entrance fee. All groups must pay $15 per adult. Children in the groups are free, however, they must be accompanied by an adult in the historic zone. Interagency passes are allowed to be used to assist with group entry fees.",DB34300B-C68C-458B-AF09-676A7B4772E7
fomc,fee,15.00,Commercial Entrance - Per Person,,"All commercial groups wishing to visitor Fort McHenry NM&HS must first obtain a Commercial Use Authorization (CUA). Groups with an active CUA are subject to the same $15 per person fee to enter the historic zone, however their employees conducting business (tour guides, bus drivers, etc.) are not subject to the entrance fee. Interagency passes may be used to assist with fee payment.",409A0FB6-0CF5-4816-BCC7-6EB201852DA7
fomc,pass,45.00,,Annual Entrance - Park,"The Fort McHenry Annual Pass covers the pass holder plus three adults to enter the Fort McHenry NM & HS Historic Zone for 12 months. The pass is both available at the park visitor center, or a digital version is available on recreation.gov. In order for the pass to work, it must be physically on the passholder with a valid photo ID.
To purchase the pass, visit the visitor center desk which is open 9 AM - 4 PM, or 9 AM - 4 PM in the summers.",22207D38-8688-46CC-A52B-9CE7C35A73BA
fopu,fee,10.00,Entrance - Per Person,,A per person fee of $10 is required to visit Fort Pulaski and the surrounding areas. Admission is valid for 7 consecutive days. Youth 15 and under are admitted free of charge. Only available at the entrance station to Fort Pulaski National Monument. Credit/Debit Only,F9A304DD-E429-4184-907E-890F149F5C21
fopu,fee,10.00,Commercial Entrance - Per Person,,Commercial bus/van tours are charged the per person fee for the number of persons on board.,FB9B8D05-389D-4A6F-B5D2-39F2F9237178
fopu,pass,35.00,,Annual Entrance - Park,The Fort Pulaski Annual Park Pass provides entry into Fort Pulaski National Monument for the pass holder and 3 other adults. The pass is valid for a year from the month of purchase. Each Fort Pulaski Annual Park Pass comes with one signature line for a single passholder.,D6948BC8-C8F1-4CE9-97FF-A4F862EC5840
fosu,fee,10.00,Entrance - Per Person,,Fort Moultrie charges a per person entrance fee for adults. Anyone 16 years old or older is considered an adult.,81048125-C12E-4910-8A42-C90FA9AFECA7
fosu,pass,35.00,,Annual Entrance - Park,The Fort Moultrie Annual Park Pass provides entry into Fort Moultrie for the pass holder and 3 other adults.  The pass is valid for a year from the date of purchase.  Each Fort Moultrie Annual Park Pass may have 2 separate passholders.,BA1F70BC-905E-41BF-B57A-6285AADE4272
foth,fee,3.50,Timed Entry Reservation - Location,,"Make your reservation on the Ford's Theatre Society website at the link below. The reservation includes a self-guided tour through the museum, Petersen House (the house where Lincoln died), and Aftermath exhibits. Because Ford's Theatre is an active theatre, some tours or tour elements may occasionally be unavailable. Free, same-day tickets may be available on a first-come, first-served basis at the Ford's Theatre box office; supplies are limited.",B3A0ABE7-8741-4AE7-86C8-B3B1F64B3D98
fova,fee,10.00,Entrance - Per Person,,"Day use/entrance fees are required for visitors ages 16 and up to access reconstructed Fort Vancouver. Federal Interagency Passes are accepted. There is no day use/entrance fee for visitors accessing the Visitor Center, Pearson Air Museum, the Barclay House, and McLoughlin House.",142C7DDD-189A-491A-856E-4EE62DB5637B
fova,pass,35.00,,Annual Entrance - Park,Fort Vancouver National Historic Site offers an annual pass that covers entrance fees for 4 visitors ages 16 and up. Visitors ages 15 and under are free. This pass can be purchased at the gates of Fort Vancouver or at Recreation.gov.,17404DBB-E3C1-4380-80A4-8F5AED5815A2
frdo,fee,1.00,Timed Entry Reservation - Location,,"The guided tour includes the upper and lower floors of the home and provides an intimate window into the life of Frederick Douglass.

Space on each tour is limited. You are strongly encouraged to make a reservation to secure your spot on a tour. While walk-ins without a reservation are permitted if space is available, tours are frequently completely full well in advance. Plan ahead and reserve your tour today!",0660B868-E0DB-4251-839A-6937E04C24D9
glac,fee,35.00,Entrance - Private Vehicle,,"(Winter Rate - $25.00, November 1 to April 30)
This is an entrance fee for all persons traveling in a single, private, non-commercial vehicle (car/truck/van). The pass is good for seven days and is non-transferable. Visitors can enter the park at any time, if the entrance station is not staffed, a self-registration area is available for purchasing a 7-day park pass.",2D9E1C1D-B7FE-41FC-B436-08DC5A95C53D
glac,fee,20.00,Entrance - Per Person,,"(Winter Rate - $15.00, November 1 to April 30)
This is a per person entrance fee for a visitor traveling on foot, bicycle, or for individuals traveling together in a vehicle as a non-commercial, organized group. The pass is good for seven days and is non-transferable.",EDE817B2-418E-4A64-B213-D481EC4BB2E8
glac,fee,30.00,Entrance - Motorcycle,,"(Winter Rate - $20.00, November 1 to April 30)
This is a per motorcycle entrance fee. The pass is good for seven days and is non-transferable.",E6805AA3-DA69-4666-BC63-12365C0E674A
glac,fee,25.00,Commercial Entrance - Sedan,,"Entrance fees are based on the seating capacity of the vehicle (driver not included). Commercial Sedan entrance fee is $25, plus $20 per person, 16 years of age or older. The pass is good for seven days and is non-transferable.",7DCD6D6B-98C4-4C2B-896D-43751BFA3DFF
glac,fee,75.00,Commercial Entrance - Van,,Entrance fees are based on the seating capacity of the vehicle (driver not included). Commercial Van entrance fee is $75 regardless of occupancy. The pass is good for seven days and is non-transferable.,C789736B-357E-40CD-A529-248686E5E0F5
glac,fee,100.00,Commercial Entrance - Mini-bus,,Entrance fees are based on the seating capacity of the vehicle (driver not included). Commercial Mini-bus entrance fee is $100 regardless of occupancy. The pass is good for seven days and is non-transferable.,F8987FC9-5783-40FC-A57B-6878C4E91993
glac,fee,200.00,Commercial Entrance - Motor Coach,,Entrance fees are based on the seating capacity of the vehicle (driver not included). Commercial Motor Coach fee is $200 regardless of occupancy. The pass is good for seven days and is non-transferable.,CE6A4B29-6A60-4564-A67A-DAEF624CC3CD
glac,pass,70.00,,Annual Entrance - Park,"New in 2024, all passes will have one signature line for a single passholder. This pass is valid for one year from the month of entry and admits the purchaser and passengers in a single, private, non-commercial vehicle, or the pass holder and his/her immediate family (spouse, children, parents) when entry is by other means (foot, bicycle) into the park. It is nontransferable, nonrefundable, and does not cover camping fees.",D2737588-5155-4076-95D6-F9A3F09949F6
glca,fee,30.00,Entrance - Private Vehicle,,"Admits one single, private, non-commercial vehicle and all its passengers.",E3D7BE7F-64A8-476F-9BD7-EA7E47E1A057
glca,fee,25.00,Entrance - Motorcycle,,"Admits one single, private, non-commercial motorcycle and its riders.",1246D268-4885-41ED-B3AA-781B54C7A93C
glca,fee,15.00,Entrance - Per Person,,Admits one individual when entering on foot or bicycle. Individuals 15 years of age and younger are admitted free.,1F106336-58CA-4FB3-AF4B-7DC17596A474
glca,fee,40.00,Commercial Entrance - Van,,Fees are assessed based on the passenger capacity of the vehicle.,FBDEDEC5-7B9C-4701-AA2F-4E474BA1E76F
glca,fee,40.00,Commercial Entrance - Mini-bus,,Fees are assessed based on the passenger capacity of the vehicle.,81FE5D5B-C958-4225-8AAE-1611C49F3684
glca,fee,100.00,Commercial Entrance - Motor Coach,,Fees are assessed based on the passenger capacity of the vehicle.,B57321A5-6D69-4F06-8261-D73A4DB3D866
glca,fee,0.00,Entrance - Education/Academic Groups,,Academic fee waivers must be submitted and returned before you visit Glen Canyon National Recreation Area.,629AD694-E712-4F70-91B9-7336304C54BD
glca,pass,55.00,,Annual Entrance - Park,Annual pass is a card signed for and held by the owner. Allows unlimited entry for cardholder and everyone in that person's private vehicle to Glen Canyon National Recreation Area for 12 months from date of purchase. Does not cover vessel expanded amenity fee.,184056A1-4582-4245-B3A5-6346087384B7
gosp,fee,20.00,Entrance - Private Vehicle,,"The per vehicle fee covers all occupants in a single private vehicle. The fee will allow visitors access to all resources open to the public, including auto tours, walking trails, films, exhibit areas, ranger guided programs, and other seasonal activities. 

If visitors have any of the America the Beautiful Inter-agency passes, these will cover the pass holder and anyone that is in their personal vehicle.",D57FCE08-121C-44B2-BA91-EA74AF06FA69
gosp,fee,15.00,Entrance - Motorcycle,,"The motorcycle fee admits the driver and one passenger. The fee will allow visitors access to all resources open to the public, including auto tours, walking trails, films, exhibit area, ranger guided programs, other seasonal activities. 
If visitors have any of the America the Beautiful Inter-agency passes, these will cover the pass holder and the passenger of the motorcycle.",7E743C23-EC88-418C-8D57-371D703370D4
gosp,fee,10.00,Entrance - Per Person,,"Admits one individual with no car. This pass is typically used for bicyclists, and pedestrians. Youth 15 and under are admitted free. The fee will allow visitor access to all resources open to the public, including auto tours, walking trails, films, exhibit area, ranger guided programs, other seasonal activities. If visitors have any of the America the Beautiful Inter-agency passes, these will cover the pass holder.",4DE6090F-BD03-4231-BECF-4A20B6DB6990
gosp,pass,35.00,,Annual Entrance - Park,"Golden Spike National Historical Park Annual Pass

This annual pass covers entrance fees at Golden Spike National Historical Park for the pass holder and occupants within a single non-commercial vehicle or the pass holder and one passenger on a motorcycle.",193DB5EC-FBF7-4348-9AA6-327BD1559183
grca,fee,35.00,Entrance - Private Vehicle,,"Admits one single, private, non-commercial vehicle and all its passengers, up to a 15 person passenger van. Organized non-commercial groups over 16 passengers require different charges. Commercial groups are not eligible for the vehicle permit.",A618BAEE-5F9A-4985-B245-FE850CD9FFF5
grca,fee,30.00,Entrance - Motorcycle,,"Admits one single, private, non-commercial motorcycle and its passenger(s).",8832038A-0E67-4E17-95BA-570DEF4F786F
grca,fee,20.00,Entrance - Per Person,,"Individual ($20 valid for 7 days): for bicyclists, hikers, and pedestrians.",30CDC605-86C2-4AAB-86C8-832F373DFCE4
grca,pass,70.00,,Annual Entrance - Park,"Available to the general public for purchase for unlimited visits to Grand Canyon National Park only. This is an annual pass, valid one year from month of purchase; it is non-transferable.

It admits the pass holder and any accompanying persons in a single, private, non-commercial vehicle, or the pass holder and accompanying immediate family (spouse, children, parents) when entry is by other means (train, shuttle, bicycle, or foot).",569163EC-3638-4EA5-842A-1936EA1EE937
grfa,fee,20.00,Entrance - Private Vehicle,,"Includes driver and passengers. Admits one single, private, non-commercial vehicle and all its passengers. Organized groups are not eligible for the vehicle permit. Also valid for entrance into the Chesapeake and Ohio Canal National Historical Park. Admission to Great Falls Park is valid for seven consecutive days including date of purchase.",FD235E66-F4C7-4D58-B4F9-2F5304F73EF3
grfa,fee,15.00,Entrance - Motorcycle,,Admits one single private motorcycle and its passengers. Individuals 15 years of age and younger are admitted free of charge. Also valid for entrance into the Chesapeake and Ohio Canal National Historical Park. Admission to Great Falls Park is valid for seven consecutive days including date of purchase.,42AF22AA-8E92-4A6B-9965-F573058536D6
grfa,fee,10.00,Entrance - Per Person,,"Applies only to people entering by foot, bicycle, or horse. Individuals 15 years of age and younger are admitted free of charge. Also valid for entrance into the Chesapeake and Ohio Canal National Historical Park. Admission to Great Falls Park is valid for seven consecutive days including date of purchase.",7A6A2A95-A2AA-494B-B78B-BC22C54C7926
