wheelchair,latitude,longitude,accomm_type,state,name,street,house_number,city,website,phone 
yes,-118.8821296,34.8190422,hotel,,Holiday Inn Express,Wainright Court,612,Lebec,,+1 661-248-1600
yes,-87.6332998,41.8841781,hotel,IL,The Allegro Royal Sonesta Hotel Chicago Loop,West Randolph Street,171,Chicago,https://www.sonesta.com/royal-sonesta/il/chicago/allegro-royal-sonesta-hotel-chicago-loop/,+1-312-236-0123
yes,-87.6230284,41.8927983,hotel,IL,"Inn of Chicago Magnificent Mile, an Ascend Collection hotel",East Ohio Street,162,Chicago,,
yes,-87.6270869,41.8937619,hotel,IL,Holiday Inn Express Chicago - Magnificent Mile,North Wabash Avenue,640,Chicago,https://www.ihg.com/holidayinnexpress/hotels/de/de/chicago/chimm/hoteldetail,+1 312-787-4030
yes,-118.1624846,34.6773102,hotel,,Holiday Inn Express Lancaster,17th Street West,43719,Lancaster,https://www.ihg.com/holidayinnexpress/hotels/us/en/lancaster/wjfln/hoteldetail,+1-661-951-8848
yes,-118.1626032,34.6789292,hotel,CA,Comfort Inn & Suites,West Avenue J-12,1825,Lancaster,https://www.choicehotels.com/california/lancaster/comfort-inn-hotels,+1 661-723-2001
yes,-118.1639055,34.6789695,hotel,CA,SpringHill Suites Lancaster Palmdale,West Avenue J-12,1811,Lancaster,https://www.marriott.com/wjfsh,+1 661-729-2390
yes,-96.8043247,32.7752094,hotel,TX,Omni Dallas Hotel,South Lamar Street,555,Dallas,https://www.omnihotels.com/hotels/dallas,+1-214-744-6664
yes,-121.9836329,37.3866374,hotel,,The Plaza Suites Silicon Valley,,,,,
yes,-71.2814885,42.5367485,hotel,MA,Courtyard,Concord Road,270,Billerica,https://www.marriott.com/hotels/travel/bosbb-courtyard-boston-billerica-bedford/,+1 978-670-7500
yes,-71.0605095,42.3706317,hotel,MA,Residence Inn by Marriott Boston Harbor on Tudor Wharf,Charles River Avenue,34-44,Boston,https://www.marriott.com/en-us/hotels/bostw-residence-inn-boston-harbor-on-tudor-wharf/overview/,+1 617 242 9000
yes,-70.9374599,42.5547171,hotel,MA,Sonesta Select,Independence Way,275,Danvers,https://www.sonesta.com/us/massachusetts/danvers/sonesta-select-boston-danvers,+1 978 777 8630
yes,-70.6219775,41.5560148,hotel,MA,Inn on the Square,North Main Street,40,,,+1 508 4570606
limited,-122.2812342,37.870189,hotel,CA,Howard Johnson Berkeley,University Avenue,1512,Berkeley,,
yes,-71.4360529,42.0886034,hotel,MA,Residence Inn Boston Franklin,Forge Parkway,4,Franklin,https://www.marriott.com/hotels/travel/bosfr-residence-inn-boston-franklin/,+1 508-541-8188
yes,-96.7124175,40.8161981,hotel,NE,Hyatt Place Lincoln Haymarket,Q Street,600,Lincoln,https://www.hyatt.com/,+1 402-742-6007
yes,-71.7587762,42.5467335,hotel,MA,DoubleTree by Hilton Hotel Leominster,Erdman Way,99,Leominster,https://doubletree3.hilton.com/en/hotels/massachusetts/doubletree-by-hilton-hotel-leominster-ORHLEDT/index.html,+1 978-534-9000
yes,-70.2194271,41.6497499,hotel,MA,Parkers River Resort,Main Street,759,South Yarmouth,,+1-508-398-2880
yes,-71.5868542,42.3402402,hotel,MA,Embassy Suites,Boston Post Road West,123,Marlborough,https://www.hilton.com/en/hotels/bosmaes-embassy-suites-boston-marlborough/,+1 508-485-5900
yes,-71.3876604,42.29791,hotel,,Travelodge,Worcester Street,1350,Natick,http://www.travelodge.com/hotels/massachusetts/natick/boston-natick-travelodge/hotel-overview,+1 508-655-2222
yes,-76.679746,39.2006042,hotel,MD,Fairfield Inn & Suites Baltimore BWI Airport,Andover Road,1020,Linthicum Heights,https://www.marriott.com/hotels/travel/bwiaf-fairfield-inn-and-suites-baltimore-bwi-airport/,+1 410-691-1001
yes,-75.6833539,41.3635542,hotel,PA,TownePlace Suites by Marriott Scranton Wilkes-Barre,Radcliffe Drive,26,Moosic,https://www.marriott.com/en-us/hotels/scrcs-towneplace-suites-scranton-wilkes-barre/overview/,+1 570 207 8500
yes,-70.6592164,41.9319723,hotel,MA,Hilton Garden Inn Plymouth,Home Depot Drive,4,Plymouth,https://www.hilton.com/en/hotels/pymmagi-hilton-garden-inn-plymouth/,
yes,-104.8144209,38.9368759,hotel,CO,Embassy Suites by Hilton Colorado Springs,Commerce Center Drive,7290,Colorado Springs,https://www.hilton.com/en/hotels/coscces-embassy-suites-colorado-springs/,+1-719-599-9100
yes,-109.5757671,38.6008731,caravan_site,UT,Sun Outdoors Arches Gateway,US 191,1773,Moab,https://www.sunoutdoors.com/utah/sun-outdoors-arches-gateway,+1 435-259-4469
yes,-75.9496572,39.6259143,caravan_site,,Flying J - North East,Center Drive,1,,,
limited,-81.8729637,26.5903021,hotel,FL,La Quinta Inn Fort Myers Central,Cleveland Avenue,4850,Fort Myers,https://www.wyndhamhotels.com/laquinta/fort-myers-florida/la-quinta-inn-fort-myers-central/overview,+1 293-603-0261
yes,-117.9013087,33.8003047,hotel,CA,Sonesta Anaheim Resort Area,South Manchester Avenue,1915,Anaheim,https://www.sonesta.com/sonesta-hotels-resorts/ca/anaheim/sonesta-anaheim-resort-area,+1 714 748 7777
yes,-81.4156091,40.8559922,hotel,OH,Hampton Inn & Suites Canton,Broadmoor Circle Northwest,5256,Canton,www.hamptoninn3.hilton.com/en/hotels/ohio/hampton-inn-and-suites-canton-CAKBMHX/index.html,+1 330-491-4335
yes,-81.4174385,40.8563187,hotel,OH,Fairfield Inn & Suites,Broadmoor Circle Northwest,5285,Canton,https://www.marriott.com/cakcn,+1 330-493-7373
yes,-81.4162385,40.8568968,hotel,OH,Residence Inn Canton,Broadmoor Circle Northwest,5280,Canton,https://www.marriott.com/cakct,+1 330-493-0004
yes,-111.9001257,40.7665657,hotel,UT,Hyatt House Salt Lake City/Downtown,300 West,140,Salt Lake City,https://saltlakecitydowntown.house.hyatt.com/en/hotel/home.html,+1 801-359-4020
yes,-104.7731385,39.8205152,hotel,CO,La Quinta Inn & Suites Denver Airport DIA,Tower Road,6801,Denver,https://www.wyndhamhotels.com/laquinta/denver-colorado/la-quinta-denver-airport-dia/overview,+1 303-371-0888
yes,-104.7753022,39.8239201,hotel,CO,Embassy Suites by Hilton Denver International Airport,Yampa Street,7001,Denver,https://embassysuites3.hilton.com/en/hotels/colorado/embassy-suites-denver-international-airport-DENIAES/index.html,+1 303-574-3000
yes,-77.2159466,38.9080383,hotel,VA,The Westin Tysons Corner,Leesburg Pike,7801,Falls Church,,
yes,-74.0293052,41.9396174,hotel,NY,Best Western Plus Kingston Hotel and Conference Center,Washington Avenue,503,Kingston,https://www.bestwestern.com/en_US/book/hotels-in-kingston/best-western-plus-kingston-hotel-and-conference-center/propertyCode.33159.html,+1 845-338-0400
limited,-76.0654726,39.5894191,caravan_site,,ONE9 - Perryville,,,,,
yes,-89.4276157,43.072424,hotel,WI,InnTowner Hotel,University Avenue,2424,Madison,https://inntowner.com/,
yes,-104.7689312,39.9605064,hotel,CO,Comfort Inn & Suites,Medical Center Drive,2180,Brighton,https://www.choicehotels.com/colorado/brighton/comfort-inn-hotels/co356,+1 720-685-1500
yes,-121.918369,37.3654568,hotel,CA,Sonesta Select San Jose Airport,Technology Drive,1727,San Jose,https://www.sonesta.com/sonesta-select/ca/san-jose/sonesta-select-san-jose-airport,+1-408-441-6111
yes,-123.0399901,44.0836229,hotel,OR,La Quinta,Hutton Street,3480,Springfield,https://www.wyndhamhotels.com/laquinta/springfield-oregon/la-quinta-inn-and-suites-springfield/overview,+1 541-746-8471
yes,-77.1411179,38.8166573,hotel,VA,Fairfield Inn & Suites,Duke Street,6254,Alexandria,https://www.marriott.com/wasfa,+1 703-642-3422
yes,-81.3558369,41.1523215,hotel,OH,Kent State Hotel and Conference Center,South Depeyster Street,215,Kent,https://www.kentstatehotel.com/,+1-330-346-0100
yes,-96.1120696,33.0980669,hotel,TX,Hampton,Kari Lane,3001,Greenville,https://www.hilton.com/en/hotels/gevtxhx-hampton-suites-greenville/,+1 903-457-9200
yes,-94.5912143,39.0395874,hotel,MO,"The Raphael Hotel, Autograph Collection",Ward Parkway,325,Kansas City,,
yes,-80.0064281,40.4417114,hotel,PA,Wyndham Grand Pittsburgh Downtown,Commonwealth Place,600,Pittsburgh,http://www.wyndham.com/hotels/pennsylvania/pittsburgh/wyndham-grand-pittsburgh-downtown/hotel-overview,+1 412-391-4600
yes,-77.843857,35.9723897,hotel,NC,Residence Inn Rocky Mount,Gateway Boulevard,230,Rocky Mount,https://www.marriott.com/en-us/hotels/rwiri-residence-inn-rocky-mount/overview/,+1 252-451-5600
yes,-77.8432953,35.9719318,hotel,NC,Courtyard Rocky Mount,Gateway Boulevard,250,Rocky Mount,https://www.marriott.com/en-us/hotels/rwicy-courtyard-rocky-mount/overview/,+1 252-451-4800
yes,-122.3146153,47.661613,hotel,WA,Graduate Seattle,Brooklyn Avenue Northeast,4507,Seattle,https://www.graduatehotels.com/seattle/,+1-206-634-2000
limited,-111.8947527,40.7697571,hotel,UT,Salt Lake Plaza Hotel,South Temple,122 W,Salt Lake City,,
yes,-122.339762,47.6179537,hotel,WA,La Quinta Inn & Suites Seattle Downtown,8th Avenue,2224,Seattle,https://www.wyndhamhotels.com/laquinta/seattle-washington/la-quinta-seattle-downtown/overview,+1 206-624-6820
yes,-122.3418404,47.6156089,hotel,WA,Hotel Five,5th Avenue,2200,,http://www.hotelfiveseattle.com/,+1 866 866-7977
yes,-122.3366004,47.6142172,hotel,WA,Hotel Max,Stewart Street,620,Seattle,https://www.provenancehotels.com/hotel-max-seattle,+1 206 728 6299
yes,-122.3319563,47.6161551,hotel,WA,Hilton Garden Inn Seattle Downtown,Boren Avenue,1821,Seattle,https://www.hilton.com/en/hotels/seabagi-hilton-garden-inn-seattle-downtown/,+1-206-467-7770
yes,-104.8892851,39.597768,hotel,CO,Residence Inn,South Yosemite Street,6565,Greenwood Village,https://www.marriott.com/hotels/travel/denew-residence-inn-denver-tech-center/,+1 303-740-7177
yes,-106.3823936,39.644085,hotel,CO,Evergreen Lodge,South Frontage Road West,250,Vail,https://evergreenvail.com/,
limited,-111.8945904,40.7646317,hotel,UT,Holiday Inn Express Salt Lake City Downtown,West Temple,206,Salt Lake City,https://www.ihg.com/holidayinnexpress/hotels/us/en/salt-lake-city/slccc/hoteldetail,
yes,-111.8981224,40.7592009,hotel,UT,Crystal Inn Hotel & Suites Salt Lake City - Downtown,500 South,230,Salt Lake City,https://www.crystalinnsaltlake.com/,+1-800-366-4466
yes,-72.9293138,41.3049523,hotel,CT,New Haven Hotel,George Street,229,New Haven,,
yes,-77.6744866,43.2045451,hotel,NY,Residence Inn By Marriott Rochester West/Greece,Paddy Creek Circle,500,Rochester,https://www.marriott.com/hotels/travel/rocri-residence-inn-rochester-west-greece/,+1 585-865-2090
yes,-111.9300799,40.7737858,caravan_site,UT,Salt Lake City KOA Holiday,West North Temple,1400,Salt Lake City,https://koa.com/campgrounds/salt-lake-city,+1-801-328-0224
limited,-106.4056308,39.6360064,hotel,CO,Vail Residences at Cascade Village,Westhaven Drive,1300,Vail,https://www.destinationhotels.com/vail-residences-cascade-village,+1 970-476-6106
yes,-106.3931665,39.6422775,hotel,CO,"The Ritz-Carlton Club, Vail",West Lionshead Circle,728,Vail,https://www.ritzcarlton.com/en/hotels/whrlh-the-ritz-carlton-club-vail/overview/,+1-970-477-3700
yes,-111.4975357,40.6478401,hotel,,Marriott's Summit Watch,,,,,
yes,-106.4201413,39.6297919,hotel,CO,Highline Vail - a DoubleTree by Hilton,North Frontage Road West,2211,Vail,https://www.hilton.com/en/hotels/egevcdt-highline-vail/,+1-970-476-2739
limited,-105.3820212,39.5794553,hotel,CO,Brook Forest Inn,South Brook Forest Road,8136,Evergreen,,
limited,-106.372823,39.6416379,hotel,CO,Mountain Haus,East Meadow Drive,292,Vail,https://mountainhaus.com,
yes,-106.3685102,39.641183,apartment,CO,the Wren at Vail,South Frontage Road East,500,,https://thewren.com,
limited,-106.3724155,39.6399988,hotel,CO,Christiana Lodge,Hanson Ranch Road,356,,https://www.destinationhotels.com/christiania-vail,
yes,-106.3741025,39.6418079,hotel,CO,Austria Haus,East Meadow Drive,242,Vail,https://www.hyatt.com/en-US/hotel/colorado/austria-haus/denda,+1-877-644-7625
yes,-111.8899542,40.5305824,hotel,UT,Fairfield Inn Draper,State Street,12117,Draper,https://www.marriott.com/en-us/hotels/slcdr-fairfield-inn-salt-lake-city-draper/overview/,+1 801-572-1200
yes,-77.650323,43.0581273,hotel,NY,Microtel Inn & Suites,Lehigh Station Road,905,Henrietta,,
yes,-111.4320878,40.6180252,camp_site,UT,Jordanelle State Park McHenry Campground,,,Heber City,,+1-435-649-9540
yes,-111.4261081,40.6198429,camp_site,UT,Jordanelle State Park Hailstone Campground,,,Heber City,,+1-435-649-9540
yes,-80.0072272,40.4479728,hotel,PA,Residence Inn Pittsburgh North Shore,West General Robinson Street,574,Pittsburgh,https://www.marriott.com/pitrn,+1 412-321-2099
yes,-80.1213365,25.9307522,hotel,FL,Newport Beachside Hotel & Resort,Collins Avenue,16701,Sunny Isles Beach,https://www.newportbeachsideresort.com/,+1-305-949-1300
yes,-77.628281,37.659402,hotel,VA,Hilton Richmond Hotel & Spa/Short Pump,West Broad Street,12042,Richmond,https://www.hilton.com/en/hotels/ricwshf-hilton-richmond-hotel-and-spa-short-pump/,+1-804-364-3600
yes,-94.7861419,39.7224899,caravan_site,,Loves' # 235 - St. Joseph,,,,,
yes,-111.8990018,40.7557287,hotel,UT,SpringHill Suites Salt Lake City Downtown,,,Salt Lake City,https://www.marriott.com/slcsh,+1 801-238-3000
yes,-73.1807523,44.4702894,hotel,VT,Holiday Inn,Williston Road,,South Burlington,,
limited,-106.6459689,37.6635881,hotel,,Quality Inn & Suites,,,,,
yes,-95.4653137,29.7364969,hotel,TX,Hotel Indigo,Hidalgo Street,5160,Houston,https://www.ihg.com/hotelindigo/hotels/us/en/houston/houhs/hoteldetail,+1-713-621-8988
limited,-119.5673692,37.7405193,camp_site,CA,Lower Pines Campground,Happy Isles Loop Road,,Yosemite National park,https://www.recreation.gov/camping/campgrounds/232450,
limited,-119.56661,37.7418301,camp_site,CA,North Pines Campground,North Pines campground,,Yosemite National park,https://www.recreation.gov/camping/campgrounds/232449,
yes,-111.4961926,40.6433593,hotel,UT,The Blue Church Lodge,Park Avenue,424,Park City,,
yes,-91.6829991,47.0244364,hotel,MN,Country Inn of Two Harbors,7th Avenue,1204,Two Harbors,https://countryinntwoharbors.com/,+1-218-834-5557
yes,-117.9959742,33.8585658,hotel,CA,Fairfield Inn & Suites Anaheim North/Buena Park,Orangethorpe Avenue,7828,Buena Park,https://www.marriott.com/hotels/travel/snapk-fairfield-inn-and-suites-anaheim-north-buena-park/,+1 714-670-7200
yes,-77.446613,37.5453393,hotel,VA,Graduate Richmond,West Franklin Street,301,Richmond City,https://www.graduatehotels.com/richmond/,+1-804-644-9871
yes,-81.6717386,36.1247651,hotel,NC,Holiday Inn Express Blowing Rock South,Valley Boulevard,8412,Blowing Rock,https://www.ihg.com/holidayinnexpress/hotels/us/en/blowing-rock/boorn/hoteldetail,+1-828-295-4422
yes,-81.6753997,36.1337694,hotel,NC,Meadowbrook Inn,Main Street,711,Blowing Rock,,+1 828 295 4300
yes,-84.3872889,33.7812476,hotel,GA,Home2 Suites by Hilton Atlanta Midtown,West Peachtree Street Northwest,975,Atlanta,https://www.hilton.com/en/hotels/atlhoht-home2-suites-atlanta-midtown/,+1 404-876-5003
yes,-75.8224791,38.8940543,hotel,MD,Best Western,Fleetwood Road,521,Denton,https://www.bestwestern.com/en_US/book/hotels-in-denton/best-western-denton-inn/propertyCode.21046.html,+1 410-479-8400
yes,-146.0058401,63.0517786,caravan_site,,Tangle Lake Campground,,,,,
yes,-121.1052471,35.568755,hotel,CA,El Colibri Hotel & Spa,Moonstone Beach,5620,Cambria,,
yes,-122.3341143,47.6069385,hotel,WA,Kimpton Hotel Monaco Seattle,4th Avenue,1101,Seattle,https://www.monaco-seattle.com/,+1 206-621-1770
yes,-148.6940719,60.7777294,hotel,,The Inn at Whittier,,,,https://innatwhittier.com/,
yes,-106.9448868,39.2096544,hotel,CO,Viceroy Snowmass,Wood Road,130,Snowmass Village,https://www.viceroyhotelsandresorts.com/en/snowmass,+1-970-923-8000
limited,-75.6037307,35.2366865,camp_site,NC,Frisco Campground,Billy Mitchell Road,53415,Frisco,https://www.nps.gov/caha/planyourvisit/campgrounds.htm,
limited,-72.9697755,43.5839101,hotel,VT,Hampton Inn Rutland,Farrell Road,47,Rutland,https://www.hilton.com/en/hotels/rtlhhhx-hampton-rutland/,+1 802-773-9066
yes,-80.0327524,26.7760956,hotel,,Marriott’s Ocean Pointe,,,,,
yes,-84.387772,33.7783494,hotel,GA,Renaissance Atlanta Midtown Hotel,West Peachtree Street Northwest,866,Atlanta,https://www.marriott.com/en-us/hotels/atlbd-renaissance-atlanta-midtown-hotel/overview/,+1-678-412-2400
yes,-104.7975473,38.7930717,hotel,CO,Fairfield Inn & Suites Colorado Springs South,Geyser Drive,2725,Colorado Springs,https://www.marriott.com/cosfs,+1 719-576-1717
yes,-104.7967589,38.792447,hotel,CO,Residence Inn Colorado Springs South,Geyser Drive,2765,Colorado Springs,https://www.marriott.com/cosri,+1 719-576-0101
yes,-104.797239,38.7899886,hotel,CO,Hampton Inn & Suites Colorado Springs/I-25 South,Geyser Drive,2910,Colorado Springs,https://www.hilton.com/en/hotels/coswahx-hampton-suites-colorado-springs-i-25-south/,+1 719-884-0330
yes,-110.6932677,44.7382718,camp_site,,Norris Campground,,,,,
limited,-110.4823407,44.7372084,camp_site,,Canyon Campground,,,,https://www.nps.gov/yell/planyourvisit/canyoncg.htm,+1 307 344 7311
yes,-110.7640277,43.482954,hotel,WY,The Alpine House,North Glenwood Street,285,Jackson,https://alpinehouse.com/,+1 307 739 1570
yes,-76.7055713,39.9086675,hotel,,Holiday Inn Express & Suites,Leader Heights Road,140,York,,
yes,-110.7784393,43.4737284,hotel,WY,The Virginian Lodge,West Broadway Avenue,750,Jackson,https://www.outboundhotels.com/the-virginian/,+1 307-733-2792
yes,-97.740794,30.2795629,hotel,TX,Hampton Inn & Suites Austin at The University/Capitol,Lavaca Street,1701,Austin,https://www.hilton.com/en/hotels/ausuahx-hampton-suites-austin-at-the-university-capitol/,+1 512-499-8881
yes,-84.5749189,34.0108296,hotel,GA,Hilton Garden Inn,Cobb Place Boulevard Northwest,895,Kennesaw,https://www.hilton.com/en/hotels/atlkegi-hilton-garden-inn-atlanta-nw-kennesaw-town-center/,+1 678-322-1140
yes,-84.5757472,34.010891,hotel,GA,Homewood Suites,Cobb Place Boulevard Northwest,905,Kennesaw,,+1 678 354 2800
yes,-84.5737654,34.0106953,hotel,GA,Hampton Inn,Cobb Place Boulevard Northwest,871,Kennesaw,https://www.hilton.com/en/hotels/atltchx-hampton-atlanta-town-center-kennesaw/,+1 770-426-0017
yes,-69.9996623,41.9247826,camp_site,MA,Wellfleet Hollow State Campground,Old Kings Highway,180,Wellfleet,https://www.mass.gov/locations/wellfleet-hollow-state-campground,+1-508-349-3007
yes,-75.1135384,39.7065046,hotel,NJ,Courtyard - Rowan University,Rowan Boulevard,325,Glassboro,https://www.marriott.com/hotels/travel/phlgb-courtyard-glassboro-rowan-university/,+1 856-881-0048
limited,-124.1709575,40.8018011,hotel,CA,Travelodge Eureka,4th Street,4,Eureka,https://www.wyndhamhotels.com/travelodge/eureka-california/travelodge-eureka/overview,+1 707-572-5021
yes,-73.9945641,40.7639891,hotel,,Holiday Inn Express,West 48th Street,538,New York,,
yes,-90.2188646,38.6267361,hotel,MO,Residence Inn,South Jefferson Avenue,525,Saint Louis,https://www.marriott.com/en-us/hotels/stlrd-residence-inn-st-louis-downtown/overview/,+1 314-289-7500
yes,-111.9481959,40.7723279,hotel,UT,Park Inn by Radisson,North Temple,1990 W,Salt Lake City,https://www.motel6.com/en/home/motels.ut.salt-lake-city.192.html,+1-801-364-1053
limited,-82.551136,35.5991736,hotel,NC,Four Points by Sheraton Asheville Downtown,Woodfin Street,22,Asheville,https://www.marriott.com/hotels/travel/avlfp-four-points-asheville-downtown/,+1-828-253-1851
yes,-97.6762848,30.406475,hotel,TX,SpringHill Suites Austin Parmer/Tech Ridge,North Interstate Highway 35,12520,Austin,https://www.marriott.com/en-us/hotels/ausne-springhill-suites-austin-parmer-tech-ridge,+1 512-833-8100
yes,-97.6764745,30.4073271,hotel,TX,Fairfield Inn & Suites Austin Parmer/Tech Ridge,North Interstate Highway 35,12536,Austin,https://www.marriott.com/en-us/hotels/auspl-fairfield-inn-and-suites-austin-parmer-tech-ridge,+1 512-821-0376
yes,-73.7898885,43.0691898,hotel,NY,Hilton Garden Inn,South Broadway,125,Saratoga Springs,https://hiltongardeninn3.hilton.com/en/hotels/new-york/hilton-garden-inn-saratoga-springs-ALBSSGI/index.html,+1 518-587-1500
yes,-122.0899109,37.5497107,camp_site,,Dairy Glenn,,,,,
yes,-73.5895558,40.7461438,hotel,NY,Hilton Garden Inn,Privado Road,1575,Westbury,https://www.hilton.com/en/hotels/jfkwegi-hilton-garden-inn-westbury/,+1 516-683-8200
yes,-97.0532404,36.1274976,hotel,OK,Fairfield Inn,East Hall of Fame Avenue,418,Stillwater,https://www.marriott.com/hotels/travel/pncst-fairfield-inn-and-suites-stillwater/,+1 405-372-6300
yes,-74.1764379,40.6149563,hotel,NY,Hilton Garden Inn,South Avenue,1100,Staten Island,https://www.hilton.com/en/hotels/ewrsigi-hilton-garden-inn-new-york-staten-island/,+1 718-477-2400
yes,-111.4973929,40.6445944,hotel,UT,Washington School House Hotel,Park Avenue,543,Park City,,
yes,-95.8164437,36.0776761,hotel,OK,Clarion Hotel,North Aspen Avenue,2600,Broken Arrow,,
yes,-79.0233391,35.9075844,hotel,NC,Aloft,South Hamilton Road,1001,Chapel Hill,https://www.marriott.com/en-us/hotels/rducl-aloft-chapel-hill/overview/,+1-919-932-7772
yes,-122.4104942,37.7785023,hotel,CA,Carriage Inn,7th Street,140,San Francisco,,
yes,-73.8908296,41.5283018,hotel,NY,Holiday Inn Express,Schuyler Boulevard,21,Fishkill,,
yes,-122.4889616,48.3913895,guest_house,,Heron Inn & Day Spa,Maple Avenue,117,La Conner,https://www.theheroninn.com/,+1-360-399-1074
yes,-98.4255496,35.9364784,hotel,,Roman Nose Lodge,,,,,
yes,-95.9319237,41.2571477,hotel,NE,"The Farnam, Autograph Collection",Farnam Street,1299,Omaha,https://www.marriott.com/hotels/travel/omaak-the-farnam-autograph-collection/,+1 402-915-4900
yes,-73.9437063,41.0459145,hotel,NY,Holiday Inn,Route 303,329,Orangeburg,,
yes,-87.7770392,33.986065,hotel,AL,Hampton Inn,Highway 129,7005,Winfield,https://hamptoninn3.hilton.com/en/hotels/alabama/hampton-inn-winfield-BHMWIHX/index.html,+1 205-487-1270
yes,-74.0030718,40.7239398,hotel,,Sixty SoHo,Thompson Street,60,,https://www.sixtyhotels.com/destinations/new-york-city/sixty-soho,
yes,-73.999877,40.7197618,hotel,,NoMo SoHo,Crosby Street,9,,https://www.nomosoho.com/,+1-646-218-6400
yes,-114.0670333,40.7353961,caravan_site,NV,Wendover KOA,North Camper Drive,651,Wendover,https://koa.com/campgrounds/wendover/,+1-775-664-3221
yes,-81.9331754,34.9541135,hotel,SC,Marriott,North Church Street,299,Spartanburg,https://www.marriott.com/hotels/travel/spamc-spartanburg-marriott/,+1-864-596-1211
yes,-76.9812269,38.5236596,hotel,,Best Westen,,,,,
yes,-79.9922001,40.4397391,hotel,PA,Pittsburgh Marriott City Center,Washington Pl,112,Pittsburgh,https://www.marriott.com/en-us/hotels/pitdt-pittsburgh-marriott-city-center/overview/,+1-412-471-4000
yes,-74.0273317,40.6243699,hotel,NY,Best Western Gregory Hotel,4th Avenue,8315,Brooklyn,https://www.bestwestern.com/en_US/book/hotels-in-brooklyn/best-western-gregory-hotel/propertyCode.33124.html,+1 718-238-3737
yes,-76.7565525,35.850243,hotel,NC,Holiday Inn Express,US Highway 64 West,840,Plymouth,,
yes,-74.0054962,40.7253205,hotel,NY,The Dominick,Spring Street,246,New York,https://www.thedominickhotel.com/,+1 212-842-5500
yes,-73.9276675,40.6921252,hotel,NY,Artel 535,Van Buren Street,535,Brooklyn,https://artel535.com/,+1-929-468-8684
yes,-73.9272093,40.6921215,hotel,NY,Holiday Inn Express,Broadway,1200,Brooklyn,https://www.ihg.com/holidayinnexpress/hotels/us/en/brooklyn/nycly/hoteldetail,+1-718-317-1200
yes,-74.0047857,40.7193706,hotel,NY,Roxy Hotel,Avenue of the Americas,2,New York,https://www.roxyhotelnyc.com/,
yes,-95.8440809,36.294593,hotel,OK,Candlewood Suites Owasso,East 96th Street North,11699,Owasso,,
yes,-97.5685275,35.5267563,hotel,OK,Hampton Inn Oklahoma City-Northwest,Northwest Expressway,3022,Oklahoma City,https://www.hilton.com/en/hotels/okcnthx-hampton-oklahoma-city-northwest/,+1 405 947 0953
yes,-73.9871952,40.7218279,hotel,,The Ludlow Hotel,Ludlow Street,180,,https://ludlowhotel.com/,+1 212-432-1818
yes,-111.9502776,40.773992,hotel,UT,Holiday Inn Express & Suites Salt Lake City-Airport East,2100 West,200,Salt Lake City,https://www.ihg.com/holidayinnexpress/hotels/us/en/salt-lake-city/slcut/hoteldetail,+1 801-741-1500
yes,-75.1701253,39.9566875,hotel,PA,"The Logan Philadelphia, Curio Collection by Hilton",Logan Square,1,Philadelphia,https://www.hilton.com/en/hotels/phlqqqq-the-logan-philadelphia/,+1-215-963-1500
limited,-123.0486702,38.4614084,caravan_site,CA,Casini Ranch Family Campground,Moscow Road,22855,Duncans Mills,https://casiniranch.com/,800-451-8400
yes,-90.1956067,38.6287588,hotel,MO,Le Méridien,Pine Street,1019,Saint Louis,https://www.marriott.com/hotels/travel/stlmo-le-meridien-st-louis-downtown/,+1-314-436-2355
yes,-122.1542269,47.5806826,hotel,WA,Hyatt House Seattle/Bellevue,139th Avenue Southeast,3244,Bellevue,https://www.hyatt.com/hyatt-house/en-us/seaxb-hyatt-house-seattle-bellevue,+1 425-747-2705
yes,-72.5471684,41.8045225,hotel,CT,Fairfield Inn & Suites Hartford Manchester,Pavilions Drive,121,Manchester,https://www.marriott.com/bdlth,
yes,-79.8395173,38.894089,hotel,WV,Hampton,Plantation Drive,480,Elkins,https://www.hilton.com/en/hotels/eknwvhx-hampton-elkins/,+1 304-630-7500
yes,-88.7786803,41.9303119,hotel,IL,Comfort Inn DeKalb,West Lincoln Highway,1314,DeKalb,https://www.choicehotels.com/illinois/dekalb/comfort-inn-hotels/il323,+1 815-748-7100
limited,-88.7764865,41.9304061,hotel,IL,Red Roof Inn - DeKalb,West Lincoln Highway,1212,DeKalb,https://www.redroof.com/property/IL/DeKalb/RRI318,+1-937-328-1807
yes,-122.4007499,37.7952194,hotel,CA,"Club Quarters Hotel, San Francisco, Embarcadero",Clay Street,424,San Francisco,http://clubquarters.com/san-francisco,415-392-7400
yes,-122.2014335,37.7292546,hotel,,Holiday Inn Hotel & Suites Oakland Airport,Hegenberger Road,,Oakland,,
yes,-86.7830892,36.1633615,hotel,,Sheraton Grand Nashville Downtown,Union Street,623,Nashville,http://www.sheratonnashvilledowntown.com/,+1-615-259-2000
yes,-122.4098163,37.7893634,hotel,CA,"Hotel Emblem San Francisco, a Viceroy Urban Retreat",Sutter Street,562,San Francisco,https://www.viceroyhotelsandresorts.com/en/emblem,+1-415-433-4434
yes,-76.4583452,39.3724601,hotel,MD,Hilton Garden Inn,Campbell Boulevard,5015,Nottingham,https://www.hilton.com/en/hotels/bwiwmgi-hilton-garden-inn-baltimore-white-marsh/,
limited,-122.4254328,37.7872456,hotel,,Hotel Majestic,Sutter Street,1500,,https://www.thehotelmajestic.com/,
